pos,live_clean,live_dirty
0,0,1
1,0,2
2,1,2
3,1,2
4,17,2
5,17,2
6,33,2
7,33,2
8,33,2
9,33,2
10,17,2
11,17,2
12,17,2
13,17,2
14,17,2
15,1,2
16,1,2
17,0,2
18,0,2
19,0,3
20,0,5
21,0,6
22,0,8
23,16,8
24,16,8
25,32,8
26,32,8
27,48,8
28,48,8
29,64,8
30,64,8
31,64,8
32,64,8
33,48,8
34,48,8
35,48,8
36,48,8
37,48,8
38,32,8
39,32,8
40,32,6
41,32,6
42,32,6
43,32,6
44,16,6
45,16,6
46,16,5
47,16,5
48,16,5
49,16,5
50,0,5
51,0,5
52,0,4
53,0,2
54,0,2
55,0,3
56,0,5
57,0,6
58,0,8
59,16,8
60,16,8
61,32,8
62,32,8
63,48,8
64,48,8
65,64,8
66,64,8
67,64,8
68,64,8
69,48,8
70,48,8
71,48,8
72,48,8
73,48,8
74,32,8
75,32,8
76,32,6
77,32,6
78,32,6
79,32,6
80,16,6
81,16,6
82,16,5
83,16,5
84,16,5
85,16,5
86,0,5
87,0,5
88,0,4
89,0,2
90,0,2
91,0,386
92,0,770
93,768,770
94,768,770
95,1536,770
96,1536,770
97,1680,770
98,1680,770
99,1824,770
100,1824,770
101,1824,770
102,1824,770
103,1680,770
104,1680,770
105,1680,770
106,1680,770
107,1680,770
108,1536,770
109,1536,770
110,1536,770
111,1536,1538
112,1536,2306
113,1552,2306
114,1552,2306
115,1568,2306
116,1568,2306
117,1568,2306
118,1568,2306
119,1552,2306
120,1552,2306
121,1552,2306
122,1552,2306
123,1552,2306
124,1536,2306
125,1536,2306
126,768,2306
127,0,2306
128,0,2306
129,0,2690
130,0,4226
131,0,4610
132,0,6146
133,144,6146
134,144,6146
135,288,6146
136,288,6146
137,432,6146
138,432,6146
139,576,6146
140,576,6146
141,576,6146
142,576,6146
143,432,6146
144,432,6146
145,432,6146
146,432,6146
147,432,6146
148,288,6146
149,288,6146
150,288,5378
151,288,3842
152,288,3842
153,288,3842
154,288,3842
155,144,3842
156,144,3842
157,144,3458
158,144,3458
159,144,3458
160,144,3458
161,0,3458
162,0,3458
163,0,3074
164,0,2306
165,0,770
166,0,770
167,0,1154
168,0,2690
169,0,3074
170,0,4610
171,144,4610
172,144,4610
173,288,4610
174,288,4610
175,432,4610
176,432,4610
177,576,4610
178,576,4610
179,576,4610
180,576,4610
181,432,4610
182,432,4610
183,432,4610
184,432,4610
185,432,4610
186,288,4610
187,288,4610
188,288,3074
189,288,3074
190,288,3074
191,288,3074
192,144,3074
193,144,3074
194,144,3074
195,144,3074
196,144,3074
197,0,3074
198,0,3074
199,0,1538
200,0,1538
201,0,1922
202,0,3458
203,0,3842
204,0,5378
205,144,5378
206,144,5378
207,288,5378
208,288,5378
209,432,5378
210,432,5378
211,576,5378
212,576,5378
213,576,5378
214,576,5378
215,432,5378
216,432,5378
217,432,5378
218,432,5378
219,432,5378
220,288,5378
221,288,5378
222,288,4994
223,288,3458
224,288,3458
225,288,3458
