pos,live_clean,live_dirty,live_total
0,0,1,1
1,0,2,2
2,1,2,3
3,1,2,3
4,17,2,19
5,17,2,19
6,33,2,35
7,33,2,35
8,33,2,35
9,33,2,35
10,17,2,19
11,17,2,19
12,17,2,19
13,17,2,19
14,17,2,19
15,1,2,3
16,1,2,3
17,0,2,2
18,0,2,2
19,0,3,3
20,0,5,5
21,0,6,6
22,0,8,8
23,16,8,24
24,16,8,24
25,32,8,40
26,32,8,40
27,48,8,56
28,48,8,56
29,64,8,72
30,64,8,72
31,64,8,72
32,64,8,72
33,48,8,56
34,48,8,56
35,48,8,56
36,48,8,56
37,48,8,56
38,32,8,40
39,32,8,40
40,32,6,38
41,32,6,38
42,32,6,38
43,32,6,38
44,16,6,22
45,16,6,22
46,16,5,21
47,16,5,21
48,16,5,21
49,16,5,21
50,0,5,5
51,0,5,5
52,0,4,4
53,0,2,2
54,0,2,2
55,0,3,3
56,0,5,5
57,0,6,6
58,0,8,8
59,16,8,24
60,16,8,24
61,32,8,40
62,32,8,40
63,48,8,56
64,48,8,56
65,64,8,72
66,64,8,72
67,64,8,72
68,64,8,72
69,48,8,56
70,48,8,56
71,48,8,56
72,48,8,56
73,48,8,56
74,32,8,40
75,32,8,40
76,32,6,38
77,32,6,38
78,32,6,38
79,32,6,38
80,16,6,22
81,16,6,22
82,16,5,21
83,16,5,21
84,16,5,21
85,16,5,21
86,0,5,5
87,0,5,5
88,0,4,4
89,0,2,2
90,0,2,2
91,0,386,386
92,0,770,770
93,768,770,1538
94,768,770,1538
95,1536,770,2306
96,1536,770,2306
97,1680,770,2450
98,1680,770,2450
99,1824,770,2594
100,1824,770,2594
101,1824,770,2594
102,1824,770,2594
103,1680,770,2450
104,1680,770,2450
105,1680,770,2450
106,1680,770,2450
107,1680,770,2450
108,1536,770,2306
109,1536,770,2306
110,1536,770,2306
111,1536,1538,3074
112,1536,2306,3842
113,1552,2306,3858
114,1552,2306,3858
115,1568,2306,3874
116,1568,2306,3874
117,1568,2306,3874
118,1568,2306,3874
119,1552,2306,3858
120,1552,2306,3858
121,1552,2306,3858
122,1552,2306,3858
123,1552,2306,3858
124,1536,2306,3842
125,1536,2306,3842
126,768,2306,3074
127,0,2306,2306
128,0,2306,2306
129,0,2690,2690
130,0,4226,4226
131,0,4610,4610
132,0,6146,6146
133,144,6146,6290
134,144,6146,6290
135,288,6146,6434
136,288,6146,6434
137,432,6146,6578
138,432,6146,6578
139,576,6146,6722
140,576,6146,6722
141,576,6146,6722
142,576,6146,6722
143,432,6146,6578
144,432,6146,6578
145,432,6146,6578
146,432,6146,6578
147,432,6146,6578
148,288,6146,6434
149,288,6146,6434
150,288,5378,5666
151,288,3842,4130
152,288,3842,4130
153,288,3842,4130
154,288,3842,4130
155,144,3842,3986
