pos,L1,UB
0,1,0
1,2,0
2,3,0
3,3,0
4,19,0
5,19,0
6,35,0
7,35,0
8,35,0
9,35,0
10,19,0
11,19,0
12,19,0
13,19,0
14,19,0
15,3,0
16,3,0
17,2,0
18,2,0
19,3,0
20,5,0
21,6,0
22,8,0
23,24,0
24,24,0
25,40,0
26,40,0
27,56,0
28,56,0
29,72,0
30,72,0
31,72,0
32,72,0
33,56,0
34,56,0
35,56,0
36,56,0
37,56,0
38,40,0
39,40,0
40,38,0
41,38,0
42,38,0
43,38,0
44,22,0
45,22,0
46,21,0
47,21,0
48,21,0
49,21,0
50,5,0
51,5,0
52,4,0
53,2,0
54,2,0
55,3,0
56,5,0
57,6,0
58,8,0
59,24,0
60,24,0
61,40,0
62,40,0
63,56,0
64,56,0
65,72,0
66,72,0
67,72,0
68,72,0
69,56,0
70,56,0
71,56,0
72,56,0
73,56,0
74,40,0
75,40,0
76,38,0
77,38,0
78,38,0
79,38,0
80,22,0
81,22,0
82,21,0
83,21,0
84,21,0
85,21,0
86,5,0
87,5,0
88,4,0
89,2,0
90,2,0
91,386,0
92,770,0
93,1538,0
94,1538,0
95,2306,0
96,2306,0
97,2450,0
98,2450,0
99,2594,0
100,2594,0
101,2594,0
102,2594,0
103,2450,0
104,2450,0
105,2450,0
106,2450,0
107,2450,0
108,2306,0
109,2306,0
110,2306,0
111,3074,0
112,3842,0
113,3858,0
114,3858,0
115,3874,0
116,3874,0
117,3874,0
118,3874,0
119,3858,0
120,3858,0
121,3858,0
122,3858,0
123,3858,0
124,3842,0
125,3842,0
126,3074,0
127,2306,0
128,2306,0
129,2690,0
130,4226,0
131,4610,0
132,6146,0
133,6290,0
134,6290,0
135,6434,0
136,6434,0
137,6578,0
138,6578,0
139,6722,0
140,6722,0
141,6722,0
142,6722,0
143,6578,0
144,6578,0
145,6578,0
146,6578,0
147,6578,0
148,6434,0
149,6434,0
150,5666,0
151,4130,0
152,4130,0
153,4130,0
154,4130,0
155,3986,0
156,3986,0
157,3602,0
158,3602,0
159,3602,0
160,3602,0
161,3458,0
162,3458,0
163,3074,0
164,2306,0
165,770,0
166,770,0
167,1154,0
168,2690,0
169,3074,0
170,4610,0
171,4754,0
172,4754,0
173,4898,0
174,4898,0
175,5042,0
176,5042,0
177,5186,0
178,5186,0
179,5186,0
180,5186,0
181,5042,0
182,5042,0
183,5042,0
184,5042,0
185,5042,0
186,4898,0
187,4898,0
188,3362,0
189,3362,0
190,3362,0
191,3362,0
192,3218,0
193,3218,0
194,3218,0
195,3218,0
196,3218,0
197,3074,0
198,3074,0
199,1538,0
200,1538,0
201,1922,0
202,3458,0
203,3842,0
204,5378,0
205,5522,0
206,5522,0
207,5666,0
208,5666,0
209,5810,0
210,5810,0
211,5954,0
212,5954,0
213,5954,0
214,5954,0
215,5810,0
216,5810,0
217,5810,0
218,5810,0
219,5810,0
220,5666,0
221,5666,0
222,5282,0
223,3746,0
224,3746,0
225,3746,0
226,3746,0
227,3602,0
228,3602,0
229,3218,0
230,3218,0
231,3218,0
232,3218,0
233,3074,0
234,3074,0
235,2690,0
236,2306,0
237,770,0
238,770,0
239,866,0
240,1250,0
241,1346,0
242,1730,0
243,1874,0
244,1874,0
245,2018,0
246,2018,0
247,2162,0
248,2162,0
249,2306,0
250,2306,0
